series;model;test_MAE;test_RMSE;test_sMAPE;train_time;is_best
A;Additive Component;0,3400;0,3639;12,2102;0,0010;False
A;GRU;0,3339;0,3589;11,9604;11,7103;False
A;Holt-Winters Additive;0,2277;0,2452;8,0669;1,1091;False
A;LSTM;0,2513;0,2726;8,8520;15,7720;False
A;Mixed Component;2,8919;2,9001;66,0696;0,0017;False
A;Multiplicative Component;0,3656;0,3977;13,2207;0,0020;False
A;Naive Forecast;0,3433;0,3687;12,3473;0,0000;False
A;SARIMA;0,1855;0,2041;6,4919;0,3197;False
A;Theil-Sen;0,0898;0,1134;3,1042;0,0129;True
B;ARIMA;3,2631;4,1093;3,2573;0,0193;True
B;Adaptive SES;3,9970;5,1590;3,9722;0,0010;False
B;GRU;3,3446;4,0344;3,3380;7,8371;False
B;Holt;3,3608;4,0436;3,3542;0,0171;False
B;Holt Damped;3,3584;4,0412;3,3518;0,0180;False
B;LSTM;3,3482;4,0444;3,3416;12,8745;False
B;Naive Forecast;6,2758;7,2466;6,2462;0,0000;False
B;Recursive Least Squares;3,3616;4,1434;3,3547;0,0043;False
C;AR;0,6166;1,3165;0,6075;0,0336;False
C;ARMA;0,5884;1,2265;0,5791;0,2350;False
C;GRU;0,6077;1,2315;0,5982;9,2820;False
C;Improved Vanilla RNN;0,8405;1,4550;0,8285;10,5204;False
C;LSTM;0,5168;1,2115;0,5080;23,2527;True
C;MA;0,5856;1,2259;0,5764;0,1951;False
C;Simple Exponential Smoothing;0,5950;1,3021;0,5860;0,0020;False
