series;model;train_time;val_MAE;val_RMSE;val_sMAPE;test_MAE;test_RMSE;test_sMAPE;error_occurred
B;ARIMA(0, 1, 0);0,028003215789794922;4,453125;5,5049693459637;4,424284344684243;3,9969696969696953;5,158958081323056;3,972161277592238;False
B;ARIMA(1, 1, 0);0,018563508987426758;3,9140680949460522;4,5166697087316585;3,8997862341212968;3,26313916302285;4,109307906553283;3,2572967016179706;False
B;ARIMA(0, 1, 1);0,062035322189331055;3,719955843921246;4,321574245997776;3,708094406433765;3,35081521714404;4,041541523466475;3,3442076392405338;False
B;ARIMA(1, 1, 1);0,08199954032897949;3,7450353045664513;4,34938856934302;3,732948669913557;3,268450674587068;4,001574396164423;3,261923354297496;False
B;ARIMA(2, 1, 0);0,029000043869018555;3,7850173384116856;4,424775565573477;3,7729623123314355;3,464025633335862;4,234397975238454;3,455675205765844;False
B;ARIMA(0, 1, 2);0,037718772888183594;4,173383766521679;5,032502833672827;4,153483095812503;3,6140627784120003;4,704152507191065;3,6011596671628556;False
B;ARIMA(2, 1, 1);0,1100001335144043;3,704083531274951;4,323753776662064;3,6921840086733138;3,2968151824217453;4,0168477256366995;3,2901583249249757;False
B;ARIMA(1, 1, 2);0,1380023956298828;3,726000268348427;4,336748514251401;3,714024494370785;3,2803063855384096;4,008040462829486;3,2737007766139303;False
B;ARIMA(2, 1, 2);0,1529991626739502;3,590248653419848;4,254103772636135;3,5789100298768965;3,3812039002684164;4,077133749523041;3,3744347632709553;False
B;ARIMA(3, 1, 2);0,21600031852722168;3,5849730874378474;4,246609531707915;3,573682470816223;3,3948931348336044;4,086694666662065;3,3880810215323853;False
B;ARIMA(0, 2, 2);0,06500005722045898;7,441807986942225;8,586359606562931;7,245528676695144;7,36616804982901;8,351991962421996;7,148969821281301;False
B;ARIMA(1, 2, 1);0,06400251388549805;3,9541141380915255;4,5902923703955265;3,9391831516576317;3,275431188903319;4,178795527968726;3,2693712791212692;False
B;ARIMA(2, 2, 2);0,20467281341552734;3,6902577009028232;4,316388789253637;3,678767264429396;3,2953306976058045;4,02165285012372;3,2883114693743574;False
B;ARIMA(3, 2, 1);0,19971251487731934;3,8030749885314816;4,408143354780689;3,7903414808910387;3,303616927753513;4,075630430157159;3,297147130039302;False
B;ARIMA(1, 2, 0);0,0149993896484375;10,442319851608215;12,256606539288413;9,896641789446313;10,524805486384109;12,240356802932492;9,931387989980179;False
B;ARIMA(0, 2, 1);0,054999589920043945;5,443107530041473;6,463682007547696;5,371552117663726;5,117145471634655;6,155766211016923;5,043236529309386;False
