series;model;train_time;val_MAE;val_RMSE;val_sMAPE;test_MAE;test_RMSE;test_sMAPE;error_occurred
B;ARIMA(0, 1, 0);0,0280;4,4531;5,5050;4,4243;3,9970;5,1590;3,9722;False
B;ARIMA(1, 1, 0);0,0186;3,9141;4,5167;3,8998;3,2631;4,1093;3,2573;False
B;ARIMA(0, 1, 1);0,0620;3,7200;4,3216;3,7081;3,3508;4,0415;3,3442;False
B;ARIMA(1, 1, 1);0,0820;3,7450;4,3494;3,7329;3,2685;4,0016;3,2619;False
B;ARIMA(2, 1, 0);0,0290;3,7850;4,4248;3,7730;3,4640;4,2344;3,4557;False
B;ARIMA(0, 1, 2);0,0377;4,1734;5,0325;4,1535;3,6141;4,7042;3,6012;False
B;ARIMA(2, 1, 1);0,1100;3,7041;4,3238;3,6922;3,2968;4,0168;3,2902;False
B;ARIMA(1, 1, 2);0,1380;3,7260;4,3367;3,7140;3,2803;4,0080;3,2737;False
B;ARIMA(2, 1, 2);0,1530;3,5902;4,2541;3,5789;3,3812;4,0771;3,3744;False
B;ARIMA(3, 1, 2);0,2160;3,5850;4,2466;3,5737;3,3949;4,0867;3,3881;False
B;ARIMA(0, 2, 2);0,0650;7,4418;8,5864;7,2455;7,3662;8,3520;7,1490;False
B;ARIMA(1, 2, 1);0,0640;3,9541;4,5903;3,9392;3,2754;4,1788;3,2694;False
B;ARIMA(2, 2, 2);0,2047;3,6903;4,3164;3,6788;3,2953;4,0217;3,2883;False
B;ARIMA(3, 2, 1);0,1997;3,8031;4,4081;3,7903;3,3036;4,0756;3,2971;False
B;ARIMA(1, 2, 0);0,0150;10,4423;12,2566;9,8966;10,5248;12,2404;9,9314;False
B;ARIMA(0, 2, 1);0,0550;5,4431;6,4637;5,3716;5,1171;6,1558;5,0432;False
