series;model;train_time;val_MAE;val_RMSE;val_sMAPE;test_MAE;test_RMSE;test_sMAPE;stat_Ljung-Box_pvalue;stat_Durbin-Watson;error_occurred
C;ARMA(0,1);0,0810;0,5408;0,5993;0,5382;0,5985;1,2294;0,5891;0,0000;1,6720;False
C;ARMA(0,2);0,0587;0,5386;0,6004;0,5360;0,5951;1,2284;0,5858;0,0026;1,9714;False
C;ARMA(0,3);0,0930;0,5358;0,6002;0,5332;0,5918;1,2275;0,5825;0,0123;1,9659;False
C;ARMA(0,4);0,1524;0,5305;0,5997;0,5280;0,5856;1,2259;0,5764;0,5185;2,0572;False
C;ARMA(1,0);0,0372;0,5257;0,5966;0,5233;0,5824;1,2246;0,5732;0,0311;1,9283;False
C;ARMA(1,1);0,0610;0,5303;0,5985;0,5277;0,5864;1,2257;0,5771;0,0127;2,0036;False
C;ARMA(1,2);0,1598;0,5314;0,5992;0,5289;0,5873;1,2261;0,5780;0,0162;2,0066;False
C;ARMA(1,3);0,1627;0,5315;0,5995;0,5290;0,5872;1,2261;0,5779;0,0230;2,0016;False
C;ARMA(1,4);0,2290;0,5314;0,5994;0,5288;0,5867;1,2263;0,5775;0,8613;2,0074;False
C;ARMA(2,0);0,0693;0,5314;0,5990;0,5289;0,5874;1,2260;0,5781;0,0114;2,0169;False
C;ARMA(2,1);0,1330;0,5462;0,6087;0,5436;0,6019;1,2311;0,5925;0,0308;2,0425;False
C;ARMA(2,2);0,2050;0,5267;0,5967;0,5242;0,5829;1,2252;0,5737;0,0380;2,0207;False
C;ARMA(2,3);0,2540;0,5424;0,5970;0,5398;0,6031;1,2258;0,5937;0,0149;2,0089;False
C;ARMA(2,4);0,3149;0,5687;0,6309;0,5658;0,6263;1,2346;0,6167;0,0721;2,1970;False
C;ARMA(3,0);0,0778;0,5346;0,6009;0,5321;0,5898;1,2271;0,5805;0,0219;2,0168;False
C;ARMA(3,1);0,2022;0,5275;0,5930;0,5250;0,5860;1,2263;0,5767;0,0126;2,0127;False
C;ARMA(3,2);0,2178;0,5461;0,6159;0,5434;0,5989;1,2312;0,5895;0,0710;1,8363;False
C;ARMA(3,3);0,2616;0,5424;0,6058;0,5398;0,5968;1,2277;0,5874;0,0351;2,0666;False
C;ARMA(3,4);0,3656;0,5440;0,6017;0,5411;0,5870;1,1735;0,5775;0,3153;1,9676;False
C;ARMA(4,0);0,1130;0,5401;0,6041;0,5375;0,5954;1,2286;0,5861;0,0357;2,0302;False
C;ARMA(4,1);0,2181;0,5474;0,6079;0,5447;0,6046;1,2317;0,5951;0,0625;2,0083;False
C;ARMA(4,2);0,2630;0,5918;0,6506;0,5887;0,6349;1,2371;0,6253;0,0139;2,0883;False
C;ARMA(4,3);0,2720;0,4997;0,5757;0,4974;0,5786;1,2144;0,5694;0,0000;1,9597;False
C;ARMA(4,4);0,3806;0,5470;0,6084;0,5444;0,6015;1,2303;0,5921;0,7883;1,9960;False
