series;model;train_time;val_MAE;val_RMSE;val_sMAPE;test_MAE;test_RMSE;test_sMAPE;error_occurred
B;GRU (16u, 3w, 30e, 16b);8,484909057617188;3,6973340511322044;4,313126781038417;3,6855599835045965;3,3414193355675885;4,039283255168924;3,334812269554442;False
B;GRU (16u, 3w, 50e, 16b);9,339071273803711;3,6560987472534205;4,294652298812684;3,644358395832063;3,3374996763287155;4,034199663193335;3,3308492313977776;False
B;GRU (16u, 3w, 100e, 16b);11,478742599487305;3,647137832641604;4,29039676049729;3,63538493591183;3,3245944398822194;4,030788578252333;3,3179112815730147;False
B;GRU (16u, 3w, 150e, 16b);14,226103067398071;3,6151711463928247;4,276017352105257;3,6034870739704212;3,333239699854994;4,048622278370548;3,3264598959528504;False
B;GRU (16u, 3w, 30e, 32b);6,6054229736328125;3,6955105304718043;4,308057235913902;3,6837480520168318;3,370338671135179;4,047243766257163;3,363655406186661;False
B;GRU (16u, 3w, 50e, 32b);7,669711112976074;3,688830995559695;4,304995419348593;3,677133728089931;3,3655561967329533;4,048124281697792;3,358852030153334;False
B;GRU (16u, 3w, 100e, 32b);9,824469327926636;3,6313914775848413;4,284215407666121;3,6196374367057484;3,33849034164891;4,037403107055365;3,3317903653303884;False
B;GRU (16u, 3w, 150e, 32b);11,900291681289673;3,6309048175811793;4,280202654541218;3,6192085370686446;3,345255071466618;4,044268909495333;3,338527831268926;False
B;GRU (16u, 3w, 30e, 64b);6,31705117225647;3,6805452346801784;4,30866660304617;3,6687892670721727;3,3782769405480573;4,0545862876739935;3,371586736577047;False
B;GRU (16u, 3w, 50e, 64b);7,1331939697265625;3,7143875598907496;4,317488394592735;3,7025618396274966;3,371270382043086;4,051280100573123;3,3645326864102056;False
B;GRU (16u, 3w, 100e, 64b);9,24649977684021;3,705303192138674;4,3171846980458755;3,693486009629074;3,3403200091737677;4,039654784626881;3,3337162096202673;False
B;GRU (16u, 3w, 150e, 64b);11,847173929214478;3,6613986492157005;4,2978230976242005;3,64965861143203;3,3317263054125226;4,036083024660948;3,325087571865637;False
B;GRU (16u, 6w, 30e, 16b);6,0736706256866455;3,7251810073852565;4,333591791023369;3,7131870472503423;3,318100900361031;4,018834410161456;3,311673679283642;False
B;GRU (16u, 6w, 50e, 16b);7,152010202407837;3,7123505592346215;4,352312365913107;3,7004660417845177;3,286017678000709;4,019057087822964;3,2793672497516253;False
B;GRU (16u, 6w, 100e, 16b);9,532165288925171;3,675535392761233;4,327846243731687;3,663707587243266;3,305780352968157;4,025802263812263;3,2990734434458573;False
