series;model;train_time;val_MAE;val_RMSE;val_sMAPE;test_MAE;test_RMSE;test_sMAPE;error_occurred
B;GRU (16u, 3w, 30e, 16b);8,4849;3,6973;4,3131;3,6856;3,3414;4,0393;3,3348;False
B;GRU (16u, 3w, 50e, 16b);9,3391;3,6561;4,2947;3,6444;3,3375;4,0342;3,3308;False
B;GRU (16u, 3w, 100e, 16b);11,4787;3,6471;4,2904;3,6354;3,3246;4,0308;3,3179;False
B;GRU (16u, 3w, 150e, 16b);14,2261;3,6152;4,2760;3,6035;3,3332;4,0486;3,3265;False
B;GRU (16u, 3w, 30e, 32b);6,6054;3,6955;4,3081;3,6837;3,3703;4,0472;3,3637;False
B;GRU (16u, 3w, 50e, 32b);7,6697;3,6888;4,3050;3,6771;3,3656;4,0481;3,3589;False
B;GRU (16u, 3w, 100e, 32b);9,8245;3,6314;4,2842;3,6196;3,3385;4,0374;3,3318;False
B;GRU (16u, 3w, 150e, 32b);11,9003;3,6309;4,2802;3,6192;3,3453;4,0443;3,3385;False
B;GRU (16u, 3w, 30e, 64b);6,3171;3,6805;4,3087;3,6688;3,3783;4,0546;3,3716;False
B;GRU (16u, 3w, 50e, 64b);7,1332;3,7144;4,3175;3,7026;3,3713;4,0513;3,3645;False
B;GRU (16u, 3w, 100e, 64b);9,2465;3,7053;4,3172;3,6935;3,3403;4,0397;3,3337;False
B;GRU (16u, 3w, 150e, 64b);11,8472;3,6614;4,2978;3,6497;3,3317;4,0361;3,3251;False
B;GRU (16u, 6w, 30e, 16b);6,0737;3,7252;4,3336;3,7132;3,3181;4,0188;3,3117;False
B;GRU (16u, 6w, 50e, 16b);7,1520;3,7124;4,3523;3,7005;3,2860;4,0191;3,2794;False
B;GRU (16u, 6w, 100e, 16b);9,5322;3,6755;4,3278;3,6637;3,3058;4,0258;3,2991;False
B;GRU (16u, 6w, 150e, 16b);11,6801;3,5710;4,3584;3,5588;3,4423;4,1518;3,4360;False
B;GRU (16u, 6w, 30e, 32b);6,6877;3,7397;4,3370;3,7277;3,3350;4,0335;3,3285;False
B;GRU (16u, 6w, 50e, 32b);7,3694;3,7085;4,3259;3,6965;3,3161;4,0186;3,3096;False
B;GRU (16u, 6w, 100e, 32b);9,6151;3,7288;4,3542;3,7168;3,2777;4,0075;3,2712;False
B;GRU (16u, 6w, 150e, 32b);12,4674;3,6994;4,3344;3,6877;3,2910;4,0168;3,2843;False
B;GRU (16u, 6w, 30e, 64b);6,1936;3,7040;4,3255;3,6921;3,3502;4,0387;3,3436;False
B;GRU (16u, 6w, 50e, 64b);7,0145;3,7765;4,3586;3,7643;3,3326;4,0492;3,3261;False
B;GRU (16u, 6w, 100e, 64b);9,1412;3,7410;4,3454;3,7289;3,3018;4,0166;3,2954;False
B;GRU (16u, 6w, 150e, 64b);11,2366;3,7072;4,3371;3,6951;3,2934;4,0074;3,2869;False
B;GRU (16u, 12w, 30e, 16b);6,7350;3,6571;4,3120;3,6453;3,3343;4,0363;3,3277;False
B;GRU (16u, 12w, 50e, 16b);7,9940;3,7001;4,3284;3,6882;3,2882;4,0075;3,2816;False
B;GRU (16u, 12w, 100e, 16b);10,6903;3,6717;4,3728;3,6599;3,3163;4,0732;3,3094;False
B;GRU (16u, 12w, 150e, 16b);13,6158;3,0241;3,9649;3,0091;3,9457;4,5580;3,9428;False
B;GRU (16u, 12w, 30e, 32b);7,1797;3,7997;4,3856;3,7873;3,3351;4,0868;3,3286;False
B;GRU (16u, 12w, 50e, 32b);7,6137;3,6782;4,3085;3,6664;3,3338;4,0293;3,3272;False
B;GRU (16u, 12w, 100e, 32b);9,8862;3,6850;4,3275;3,6732;3,3001;4,0203;3,2934;False
B;GRU (16u, 12w, 150e, 32b);12,4232;3,6778;4,3753;3,6662;3,3110;4,0687;3,3041;False
B;GRU (16u, 12w, 30e, 64b);6,3173;3,7160;4,3230;3,7041;3,3411;4,0381;3,3345;False
B;GRU (16u, 12w, 50e, 64b);7,1602;3,6790;4,3110;3,6672;3,3292;4,0262;3,3226;False
B;GRU (16u, 12w, 100e, 64b);9,3776;3,6626;4,3106;3,6508;3,3364;4,0334;3,3297;False
B;GRU (16u, 12w, 150e, 64b);11,4330;3,6712;4,3822;3,6595;3,3331;4,0850;3,3263;False
B;GRU (16u, 18w, 30e, 16b);6,9297;3,6623;4,3172;3,6505;3,3334;4,0365;3,3268;False
B;GRU (16u, 18w, 50e, 16b);8,1456;3,7070;4,3322;3,6950;3,2972;4,0127;3,2907;False
B;GRU (16u, 18w, 100e, 16b);11,9239;3,6913;4,3261;3,6794;3,2966;4,0104;3,2900;False
B;GRU (16u, 18w, 150e, 16b);14,1523;3,6905;4,4021;3,6789;3,3231;4,0911;3,3162;False
B;GRU (16u, 18w, 30e, 32b);6,4230;3,7372;4,3357;3,7253;3,3305;4,0399;3,3239;False
B;GRU (16u, 18w, 50e, 32b);7,5325;3,6924;4,3175;3,6805;3,3229;4,0235;3,3163;False
B;GRU (16u, 18w, 100e, 32b);10,1505;3,7068;4,3367;3,6949;3,2869;4,0116;3,2802;False
B;GRU (16u, 18w, 150e, 32b);12,7754;3,7147;4,3353;3,7028;3,2846;4,0054;3,2780;False
B;GRU (16u, 18w, 30e, 64b);6,3609;3,7109;4,3197;3,6991;3,3471;4,0375;3,3405;False
B;GRU (16u, 18w, 50e, 64b);7,1962;3,6784;4,3169;3,6666;3,3563;4,0477;3,3497;False
B;GRU (16u, 18w, 100e, 64b);9,5376;3,6938;4,3321;3,6819;3,3009;4,0194;3,2943;False
B;GRU (16u, 18w, 150e, 64b);11,7987;3,7094;4,3338;3,6974;3,2925;4,0086;3,2860;False
B;GRU (16u, 24w, 30e, 16b);7,0543;3,7245;4,3297;3,7126;3,3290;4,0351;3,3224;False
B;GRU (16u, 24w, 50e, 16b);8,2847;3,7293;4,3466;3,7170;3,2828;4,0106;3,2763;False
B;GRU (16u, 24w, 100e, 16b);12,8086;3,6908;4,3469;3,6791;3,2951;4,0369;3,2882;False
B;GRU (16u, 24w, 150e, 16b);14,7089;3,6585;4,3136;3,6468;3,3185;4,0409;3,3116;False
B;GRU (16u, 24w, 30e, 32b);6,4965;3,7190;4,3229;3,7072;3,3495;4,0395;3,3429;False
B;GRU (16u, 24w, 50e, 32b);7,8374;3,7090;4,3249;3,6971;3,3229;4,0263;3,3164;False
B;GRU (16u, 24w, 100e, 32b);10,0460;3,7212;4,3363;3,7092;3,2792;4,0034;3,2726;False
B;GRU (16u, 24w, 150e, 32b);12,7551;3,7180;4,3335;3,7060;3,2797;4,0041;3,2731;False
B;GRU (16u, 24w, 30e, 64b);6,4629;3,8378;4,4253;3,8250;3,3410;4,1144;3,3344;False
B;GRU (16u, 24w, 50e, 64b);7,1105;3,7331;4,3305;3,7212;3,3498;4,0434;3,3432;False
B;GRU (16u, 24w, 100e, 64b);9,3624;3,7039;4,3206;3,6921;3,3279;4,0298;3,3214;False
B;GRU (16u, 24w, 150e, 64b);11,6046;3,7057;4,3319;3,6938;3,2925;4,0092;3,2859;False
B;GRU (32u, 3w, 30e, 16b);6,6428;3,7132;4,3211;3,7014;3,3430;4,0508;3,3364;False
B;GRU (32u, 3w, 50e, 16b);7,3918;3,6222;4,2823;3,6104;3,3379;4,0442;3,3311;False
B;GRU (32u, 3w, 100e, 16b);9,7095;3,6164;4,2797;3,6048;3,3322;4,0517;3,3254;False
B;GRU (32u, 3w, 150e, 16b);12,1540;3,5856;4,2765;3,5738;3,3542;4,0840;3,3474;False
B;GRU (32u, 3w, 30e, 32b);6,4597;3,6748;4,3022;3,6631;3,3731;4,0494;3,3664;False
B;GRU (32u, 3w, 50e, 32b);8,1260;3,6705;4,2984;3,6588;3,3514;4,0401;3,3447;False
B;GRU (32u, 3w, 100e, 32b);9,1555;3,6556;4,2925;3,6439;3,3387;4,0447;3,3320;False
B;GRU (32u, 3w, 150e, 32b);11,3187;3,6323;4,2790;3,6206;3,3357;4,0394;3,3290;False
B;GRU (32u, 3w, 30e, 64b);6,1008;3,7159;4,3188;3,7040;3,3654;4,0485;3,3587;False
B;GRU (32u, 3w, 50e, 64b);6,9602;3,6791;4,3016;3,6674;3,3723;4,0492;3,3656;False
B;GRU (32u, 3w, 100e, 64b);8,9034;3,6473;4,2885;3,6356;3,3390;4,0387;3,3323;False
B;GRU (32u, 3w, 150e, 64b);10,8862;3,6936;4,3125;3,6818;3,3349;4,0525;3,3283;False
B;GRU (32u, 6w, 30e, 16b);6,0319;3,6884;4,3243;3,6765;3,3184;4,0201;3,3119;False
B;GRU (32u, 6w, 50e, 16b);6,9225;3,7412;4,3485;3,7289;3,2908;4,0136;3,2844;False
B;GRU (32u, 6w, 100e, 16b);9,4422;3,3085;4,1929;3,2963;3,5553;4,2292;3,5488;False
B;GRU (32u, 6w, 150e, 16b);11,3972;3,4102;4,2914;3,3958;4,0204;4,6608;4,0151;False
B;GRU (32u, 6w, 30e, 32b);6,2041;3,7321;4,3336;3,7201;3,3320;4,0307;3,3255;False
B;GRU (32u, 6w, 50e, 32b);7,1197;3,7243;4,3427;3,7122;3,2897;4,0050;3,2833;False
B;GRU (32u, 6w, 100e, 32b);9,3507;3,6912;4,3314;3,6793;3,2983;4,0145;3,2917;False
B;GRU (32u, 6w, 150e, 32b);11,5149;3,4274;4,2547;3,4150;3,4250;4,1262;3,4187;False
B;GRU (32u, 6w, 30e, 64b);6,1221;3,6893;4,3220;3,6775;3,3390;4,0325;3,3325;False
