series;model;train_time;val_MAE;val_RMSE;val_sMAPE;test_MAE;test_RMSE;test_sMAPE;error_occurred
C;GRU (16u, 3w, 50e, 16b);10,4153;0,4285;0,4998;0,4267;0,5381;1,2183;0,5292;False
C;GRU (16u, 3w, 50e, 32b);9,3691;0,4930;0,5597;0,4907;0,5662;1,2218;0,5571;False
C;GRU (16u, 3w, 50e, 64b);9,6527;0,4945;0,5637;0,4923;0,5654;1,2214;0,5562;False
C;GRU (16u, 3w, 100e, 16b);12,9660;0,5838;0,6498;0,5808;0,6241;1,2339;0,6146;False
C;GRU (16u, 3w, 100e, 32b);12,7549;0,5081;0,5767;0,5057;0,5734;1,2229;0,5642;False
C;GRU (16u, 3w, 100e, 64b);13,3814;0,4833;0,5527;0,4812;0,5604;1,2207;0,5513;False
C;GRU (16u, 3w, 200e, 16b);18,3863;0,5419;0,6101;0,5393;0,5936;1,2276;0,5843;False
C;GRU (16u, 3w, 200e, 32b);17,7623;0,4894;0,5565;0,4872;0,5637;1,2220;0,5546;False
C;GRU (16u, 3w, 200e, 64b);15,7602;0,5215;0,5889;0,5191;0,5817;1,2252;0,5725;False
C;GRU (16u, 6w, 50e, 16b);9,9954;0,5405;0,6027;0,5379;0,5968;1,2291;0,5875;False
C;GRU (16u, 6w, 50e, 32b);9,4436;0,5131;0,5747;0,5107;0,5794;1,2258;0,5702;False
C;GRU (16u, 6w, 50e, 64b);8,9881;0,4978;0,5657;0,4955;0,5679;1,2215;0,5587;False
C;GRU (16u, 6w, 100e, 16b);13,3201;0,5181;0,5808;0,5156;0,5838;1,2269;0,5745;False
C;GRU (16u, 6w, 100e, 32b);12,5146;0,5119;0,5761;0,5095;0,5775;1,2248;0,5683;False
C;GRU (16u, 6w, 100e, 64b);11,5515;0,5360;0,5954;0,5335;0,5946;1,2285;0,5853;False
C;GRU (16u, 6w, 200e, 16b);19,9298;0,5276;0,5906;0,5251;0,5894;1,2278;0,5801;False
C;GRU (16u, 6w, 200e, 32b);17,5892;0,5545;0,6176;0,5518;0,6070;1,2314;0,5975;False
C;GRU (16u, 6w, 200e, 64b);15,9403;0,5215;0,5839;0,5190;0,5857;1,2271;0,5764;False
C;GRU (16u, 12w, 50e, 16b);10,6363;0,5297;0,5966;0,5272;0,5870;1,2271;0,5777;False
C;GRU (16u, 12w, 50e, 32b);10,6156;0,4862;0,5494;0,4840;0,5662;1,2226;0,5571;False
C;GRU (16u, 12w, 50e, 64b);10,2997;0,4906;0,5578;0,4884;0,5650;1,2216;0,5559;False
C;GRU (16u, 12w, 100e, 16b);14,3589;0,4733;0,5375;0,4712;0,5586;1,2227;0,5496;False
C;GRU (16u, 12w, 100e, 32b);12,7632;0,4031;0,4746;0,4015;0,5332;1,2194;0,5243;False
C;GRU (16u, 12w, 100e, 64b);11,5986;0,5130;0,5735;0,5107;0,5806;1,2260;0,5714;False
C;GRU (16u, 12w, 200e, 16b);21,3177;0,5697;0,6315;0,5668;0,6184;1,2338;0,6089;False
C;GRU (16u, 12w, 200e, 32b);18,8125;0,4827;0,5488;0,4806;0,5635;1,2238;0,5544;False
C;GRU (16u, 12w, 200e, 64b);16,7459;0,5071;0,5689;0,5048;0,5817;1,2282;0,5725;False
C;GRU (16u, 18w, 50e, 16b);10,8907;0,4796;0,5442;0,4775;0,5637;1,2242;0,5546;False
C;GRU (16u, 18w, 50e, 32b);10,2760;0,4947;0,5576;0,4925;0,5708;1,2240;0,5616;False
C;GRU (16u, 18w, 50e, 64b);9,4184;0,4645;0,5337;0,4625;0,5517;1,2187;0,5427;False
C;GRU (16u, 18w, 100e, 16b);15,3890;0,5050;0,5674;0,5027;0,5765;1,2256;0,5673;False
C;GRU (16u, 18w, 100e, 32b);12,9460;0,4672;0,5299;0,4651;0,5600;1,2229;0,5509;False
C;GRU (16u, 18w, 100e, 64b);11,9726;0,4837;0,5501;0,4816;0,5632;1,2222;0,5541;False
C;GRU (16u, 18w, 200e, 16b);24,8475;0,4743;0,5379;0,4722;0,5602;1,2230;0,5511;False
C;GRU (16u, 18w, 200e, 32b);19,3145;0,5020;0,5630;0,4998;0,5723;1,2226;0,5631;False
C;GRU (16u, 18w, 200e, 64b);17,7712;0,5039;0,5657;0,5016;0,5777;1,2264;0,5685;False
C;GRU (16u, 24w, 50e, 16b);11,8325;0,4931;0,5554;0,4909;0,5729;1,2262;0,5637;False
C;GRU (16u, 24w, 50e, 32b);11,2599;0,4775;0,5432;0,4754;0,5603;1,2210;0,5512;False
C;GRU (16u, 24w, 50e, 64b);9,7458;0,5047;0,5717;0,5024;0,5721;1,2221;0,5629;False
C;GRU (16u, 24w, 100e, 16b);16,3873;0,5444;0,6073;0,5418;0,5994;1,2293;0,5900;False
C;GRU (16u, 24w, 100e, 32b);13,5599;0,4856;0,5497;0,4835;0,5665;1,2247;0,5574;False
C;GRU (16u, 24w, 100e, 64b);12,8729;0,5196;0,5835;0,5172;0,5850;1,2283;0,5757;False
C;GRU (16u, 24w, 200e, 16b);25,7991;0,5321;0,5949;0,5295;0,5927;1,2287;0,5834;False
C;GRU (16u, 24w, 200e, 32b);20,7374;0,5102;0,5725;0,5078;0,5791;1,2261;0,5699;False
C;GRU (16u, 24w, 200e, 64b);18,3972;0,4870;0,5515;0,4849;0,5667;1,2244;0,5576;False
C;GRU (32u, 3w, 50e, 16b);9,9403;0,4392;0,5076;0,4374;0,5430;1,2192;0,5341;False
C;GRU (32u, 3w, 50e, 32b);9,5333;0,5030;0,5711;0,5007;0,5707;1,2224;0,5616;False
C;GRU (32u, 3w, 50e, 64b);9,1472;0,5352;0,5979;0,5327;0,5921;1,2271;0,5828;False
C;GRU (32u, 3w, 100e, 16b);15,0948;0,4946;0,5621;0,4924;0,5667;1,2224;0,5576;False
C;GRU (32u, 3w, 100e, 32b);11,9801;0,4256;0,4954;0,4238;0,5379;1,2187;0,5290;False
C;GRU (32u, 3w, 100e, 64b);11,2446;0,4807;0,5477;0,4785;0,5607;1,2208;0,5516;False
C;GRU (32u, 3w, 200e, 16b);19,4067;0,5065;0,5742;0,5041;0,5725;1,2234;0,5634;False
C;GRU (32u, 3w, 200e, 32b);17,7699;0,5323;0,6001;0,5298;0,5877;1,2264;0,5784;False
C;GRU (32u, 3w, 200e, 64b);16,3680;0,5291;0,5962;0,5266;0,5862;1,2261;0,5770;False
C;GRU (32u, 6w, 50e, 16b);10,5413;0,5006;0,5624;0,4983;0,5749;1,2253;0,5657;False
C;GRU (32u, 6w, 50e, 32b);10,1455;0,5102;0,5724;0,5079;0,5781;1,2257;0,5689;False
C;GRU (32u, 6w, 50e, 64b);9,2225;0,5028;0,5658;0,5005;0,5736;1,2236;0,5644;False
C;GRU (32u, 6w, 100e, 16b);13,6997;0,5323;0,5950;0,5298;0,5924;1,2284;0,5831;False
C;GRU (32u, 6w, 100e, 32b);13,6759;0,4754;0,5378;0,4733;0,5616;1,2232;0,5525;False
C;GRU (32u, 6w, 100e, 64b);13,8270;0,5043;0,5676;0,5020;0,5738;1,2246;0,5647;False
C;GRU (32u, 6w, 200e, 16b);19,8292;0,4467;0,5116;0,4448;0,5478;1,2211;0,5388;False
C;GRU (32u, 6w, 200e, 32b);21,3836;0,4357;0,5006;0,4339;0,5450;1,2208;0,5360;False
C;GRU (32u, 6w, 200e, 64b);16,6784;0,5579;0,6200;0,5552;0,6103;1,2322;0,6008;False
C;GRU (32u, 12w, 50e, 16b);10,5474;0,3457;0,4191;0,3445;0,5271;1,2232;0,5182;False
C;GRU (32u, 12w, 50e, 32b);9,7422;0,4592;0,5230;0,4573;0,5549;1,2210;0,5459;False
C;GRU (32u, 12w, 50e, 64b);9,3468;0,5093;0,5694;0,5070;0,5791;1,2253;0,5699;False
C;GRU (32u, 12w, 100e, 16b);15,7838;0,5409;0,6039;0,5383;0,5991;1,2302;0,5897;False
C;GRU (32u, 12w, 100e, 32b);13,3449;0,3669;0,4373;0,3656;0,5317;1,2219;0,5228;False
C;GRU (32u, 12w, 100e, 64b);12,4603;0,4973;0,5597;0,4950;0,5718;1,2246;0,5627;False
C;GRU (32u, 12w, 200e, 16b);22,5407;0,2909;0,3590;0,2900;0,5134;1,2241;0,5046;False
C;GRU (32u, 12w, 200e, 32b);19,9388;0,7280;0,7859;0,7236;0,7369;1,2709;0,7262;False
C;GRU (32u, 12w, 200e, 64b);17,5714;0,5273;0,5892;0,5248;0,5906;1,2284;0,5813;False
C;GRU (32u, 18w, 50e, 16b);11,3139;0,5000;0,5614;0,4977;0,5742;1,2249;0,5650;False
C;GRU (32u, 18w, 50e, 32b);10,1620;0,5158;0,5786;0,5134;0,5813;1,2267;0,5720;False
C;GRU (32u, 18w, 50e, 64b);10,7372;0,4770;0,5427;0,4749;0,5603;1,2212;0,5512;False
C;GRU (32u, 18w, 100e, 16b);15,6427;0,5466;0,6087;0,5440;0,6022;1,2307;0,5928;False
C;GRU (32u, 18w, 100e, 32b);19,0272;0,5131;0,5748;0,5107;0,5819;1,2270;0,5727;False
C;GRU (32u, 18w, 100e, 64b);14,4984;0,4784;0,5417;0,4763;0,5632;1,2238;0,5541;False
C;GRU (32u, 18w, 200e, 16b);24,6526;0,6161;0,6713;0,6128;0,6416;1,2184;0,6318;False
C;GRU (32u, 18w, 200e, 32b);19,2521;0,5583;0,6201;0,5556;0,6109;1,2329;0,6015;False
C;GRU (32u, 18w, 200e, 64b);17,5934;0,4928;0,5553;0,4906;0,5711;1,2250;0,5619;False
C;GRU (32u, 24w, 50e, 16b);12,2427;0,4398;0,5046;0,4380;0,5492;1,2222;0,5402;False
C;GRU (32u, 24w, 50e, 32b);12,0012;0,5001;0,5656;0,4978;0,5713;1,2241;0,5621;False
C;GRU (32u, 24w, 50e, 64b);10,8906;0,5218;0,5862;0,5193;0,5835;1,2255;0,5743;False
C;GRU (32u, 24w, 100e, 16b);18,0230;0,5007;0,5631;0,4985;0,5742;1,2252;0,5650;False
C;GRU (32u, 24w, 100e, 32b);15,0543;0,5276;0,5898;0,5251;0,5897;1,2278;0,5804;False
C;GRU (32u, 24w, 100e, 64b);12,4567;0,4625;0,5269;0,4605;0,5566;1,2223;0,5476;False
C;GRU (32u, 24w, 200e, 16b);24,6436;0,4817;0,5800;0,4792;0,5799;1,1646;0,5705;False
C;GRU (32u, 24w, 200e, 32b);20,0335;0,4901;0,5539;0,4879;0,5682;1,2243;0,5590;False
