series;model;train_time;val_MAE;val_RMSE;val_sMAPE;test_MAE;test_RMSE;test_sMAPE;error_occurred
A;LSTM (16u, 3w, 50e, 16b);12,6652;0,6522;0,7837;20,5054;0,4782;0,6096;14,2433;False
A;LSTM (16u, 3w, 50e, 32b);11,9558;2,2127;2,7669;51,0909;2,0622;2,6362;45,1978;False
A;LSTM (16u, 3w, 50e, 64b);10,6908;0,6967;0,7413;29,8584;0,9312;0,9737;37,8993;False
A;LSTM (16u, 3w, 100e, 16b);14,9865;0,0643;0,0846;2,3738;0,2170;0,2386;7,5895;False
A;LSTM (16u, 3w, 100e, 32b);14,5536;0,4519;0,5070;15,0885;0,2649;0,3104;8,4648;False
A;LSTM (16u, 3w, 100e, 64b);12,6057;4,0804;5,0700;72,6803;3,9448;4,9438;67,3105;False
A;LSTM (16u, 3w, 150e, 16b);17,8900;0,1902;0,2248;7,2449;0,4103;0,4484;14,9499;False
A;LSTM (16u, 3w, 150e, 32b);16,0893;0,1802;0,1941;6,4613;0,0812;0,1085;2,8051;False
A;LSTM (16u, 3w, 150e, 64b);14,1615;1,1093;1,3145;31,9332;0,9277;1,1394;25,3659;False
A;LSTM (16u, 6w, 50e, 16b);12,0208;0,0703;0,0932;2,5937;0,2650;0,2893;9,3591;False
A;LSTM (16u, 6w, 50e, 32b);10,6834;0,1252;0,1330;4,5496;0,1323;0,1523;4,5652;False
A;LSTM (16u, 6w, 50e, 64b);9,9886;0,0621;0,0819;2,2941;0,2116;0,2314;7,3962;False
A;LSTM (16u, 6w, 100e, 16b);14,6951;0,0714;0,0944;2,6342;0,2667;0,2912;9,4213;False
A;LSTM (16u, 6w, 100e, 32b);13,7894;0,0647;0,0856;2,3855;0,2474;0,2704;8,7047;False
A;LSTM (16u, 6w, 100e, 64b);13,7048;0,3505;0,3866;12,0048;0,1670;0,1926;5,5083;False
A;LSTM (16u, 6w, 150e, 16b);19,2659;0,0740;0,0905;2,7307;0,1948;0,2160;6,7838;False
A;LSTM (16u, 6w, 150e, 32b);16,8117;0,0786;0,0932;2,8947;0,1860;0,2059;6,4688;False
A;LSTM (16u, 6w, 150e, 64b);15,6259;0,2255;0,2440;7,9769;0,0713;0,0977;2,4627;False
A;LSTM (16u, 12w, 50e, 16b);12,6238;0,0594;0,0799;2,1882;0,2488;0,2690;8,7579;False
A;LSTM (16u, 12w, 50e, 32b);11,0776;0,0590;0,0786;2,1756;0,2421;0,2623;8,5141;False
A;LSTM (16u, 12w, 50e, 64b);11,2233;0,0879;0,1147;3,2568;0,3050;0,3296;10,8610;False
A;LSTM (16u, 12w, 100e, 16b);17,2319;0,0590;0,0782;2,1755;0,2388;0,2588;8,3891;False
A;LSTM (16u, 12w, 100e, 32b);14,7820;0,0599;0,0807;2,2061;0,2514;0,2718;8,8542;False
A;LSTM (16u, 12w, 100e, 64b);13,3210;0,0587;0,0781;2,1633;0,2408;0,2607;8,4635;False
A;LSTM (16u, 12w, 150e, 16b);21,5611;0,1182;0,1491;4,4173;0,3455;0,3724;12,4058;False
A;LSTM (16u, 12w, 150e, 32b);17,9967;0,0636;0,0863;2,3411;0,2636;0,2851;9,3093;False
A;LSTM (16u, 12w, 150e, 64b);16,0783;0,0673;0,0908;2,4788;0,2713;0,2934;9,5944;False
A;LSTM (16u, 18w, 50e, 16b);13,0709;0,0608;0,0811;2,2399;0,2448;0,2657;8,6096;False
A;LSTM (16u, 18w, 50e, 32b);12,6100;0,0595;0,0798;2,1935;0,2437;0,2640;8,5703;False
A;LSTM (16u, 18w, 50e, 64b);10,7988;0,0579;0,0776;2,1369;0,2294;0,2486;8,0453;False
A;LSTM (16u, 18w, 100e, 16b);19,4547;0,0936;0,1205;3,4722;0,3134;0,3380;11,1788;False
A;LSTM (16u, 18w, 100e, 32b);16,9276;0,0751;0,0993;2,7725;0,2853;0,3081;10,1196;False
A;LSTM (16u, 18w, 100e, 64b);15,2877;0,0598;0,0805;2,2028;0,2474;0,2679;8,7093;False
A;LSTM (16u, 18w, 150e, 16b);23,8460;0,0599;0,0808;2,2061;0,2488;0,2693;8,7596;False
A;LSTM (16u, 18w, 150e, 32b);18,3825;0,0815;0,1066;3,0142;0,2953;0,3188;10,4951;False
A;LSTM (16u, 18w, 150e, 64b);16,0733;0,0715;0,0950;2,6368;0,2781;0,3005;9,8476;False
A;LSTM (16u, 24w, 50e, 16b);15,3114;0,0677;0,0912;2,4937;0,2731;0,2949;9,6599;False
A;LSTM (16u, 24w, 50e, 32b);11,5795;0,0907;0,1176;3,3632;0,3102;0,3344;11,0559;False
A;LSTM (16u, 24w, 50e, 64b);10,5013;0,0584;0,0790;2,1535;0,2450;0,2650;8,6214;False
A;LSTM (16u, 24w, 100e, 16b);17,8416;0,0939;0,1212;3,4833;0,3152;0,3395;11,2452;False
A;LSTM (16u, 24w, 100e, 32b);15,2669;0,0770;0,1016;2,8430;0,2890;0,3119;10,2550;False
A;LSTM (16u, 24w, 100e, 64b);13,6189;0,0733;0,0973;2,7051;0,2826;0,3052;10,0170;False
A;LSTM (16u, 24w, 150e, 16b);25,9822;0,0930;0,1199;3,4509;0,3121;0,3368;11,1302;False
A;LSTM (16u, 24w, 150e, 32b);19,7253;0,0643;0,0873;2,3706;0,2661;0,2874;9,4005;False
A;LSTM (16u, 24w, 150e, 64b);16,6907;0,0582;0,0776;2,1461;0,2296;0,2491;8,0552;False
A;LSTM (32u, 3w, 50e, 16b);10,3723;0,4489;0,5162;14,9207;0,2696;0,3279;8,5502;False
A;LSTM (32u, 3w, 50e, 32b);9,8427;4,0259;5,5526;67,0677;3,9785;5,5614;62,3932;False
A;LSTM (32u, 3w, 50e, 64b);12,5248;1,3801;1,8703;35,5238;1,2581;1,7978;30,1520;False
A;LSTM (32u, 3w, 100e, 16b);13,2709;0,1290;0,1587;4,8312;0,3407;0,3747;12,2286;False
A;LSTM (32u, 3w, 100e, 32b);12,2497;0,5236;0,6070;17,0882;0,3423;0,4204;10,6318;False
A;LSTM (32u, 3w, 100e, 64b);11,4147;2,5831;3,3900;54,6453;2,4679;3,3131;49,2464;False
A;LSTM (32u, 3w, 150e, 16b);16,2744;0,0695;0,0879;2,5634;0,2022;0,2232;7,0525;False
A;LSTM (32u, 3w, 150e, 32b);14,5158;0,1343;0,1429;4,8716;0,1232;0,1442;4,2491;False
A;LSTM (32u, 3w, 150e, 64b);13,9613;0,4668;0,5381;15,4482;0,2867;0,3507;9,0422;False
A;LSTM (32u, 6w, 50e, 16b);10,6593;0,1938;0,2318;7,3966;0,4169;0,4569;15,2106;False
A;LSTM (32u, 6w, 50e, 32b);9,8475;0,2215;0,2410;7,8336;0,0726;0,0981;2,5086;False
A;LSTM (32u, 6w, 50e, 64b);10,3287;0,6138;0,7160;19,6242;0,4310;0,5332;13,0780;False
A;LSTM (32u, 6w, 100e, 16b);14,4483;0,1590;0,1913;6,0088;0,3789;0,4138;13,7084;False
A;LSTM (32u, 6w, 100e, 32b);13,0256;0,1260;0,1341;4,5778;0,1308;0,1506;4,5170;False
A;LSTM (32u, 6w, 100e, 64b);15,0089;0,2838;0,3122;9,8723;0,1110;0,1321;3,7414;False
A;LSTM (32u, 6w, 150e, 16b);17,8128;0,1614;0,1937;6,1005;0,3819;0,4166;13,8257;False
A;LSTM (32u, 6w, 150e, 32b);15,3627;0,0618;0,0814;2,2819;0,2262;0,2474;7,9278;False
A;LSTM (32u, 6w, 150e, 64b);14,0892;0,1835;0,1993;6,5587;0,0737;0,1041;2,5588;False
A;LSTM (32u, 12w, 50e, 16b);12,4079;0,1379;0,1709;5,1840;0,3658;0,3955;13,1891;False
A;LSTM (32u, 12w, 50e, 32b);10,5281;0,0740;0,0882;2,7250;0,1903;0,2080;6,6265;False
A;LSTM (32u, 12w, 50e, 64b);9,7660;0,1033;0,1113;3,7717;0,1564;0,1735;5,4183;False
A;LSTM (32u, 12w, 100e, 16b);16,0587;0,2693;0,2854;9,4625;0,0891;0,1070;3,0511;False
A;LSTM (32u, 12w, 100e, 32b);13,5314;0,0846;0,0954;3,1059;0,1780;0,1954;6,1875;False
A;LSTM (32u, 12w, 100e, 64b);12,4783;0,0572;0,0763;2,1097;0,2232;0,2417;7,8206;False
A;LSTM (32u, 12w, 150e, 16b);20,4192;0,1068;0,1361;3,9763;0,3293;0,3561;11,7844;False
A;LSTM (32u, 12w, 150e, 32b);17,3201;0,1012;0,1298;3,7642;0,3222;0,3484;11,5125;False
A;LSTM (32u, 12w, 150e, 64b);14,9221;0,0834;0,0943;3,0635;0,1791;0,1962;6,2288;False
A;LSTM (32u, 18w, 50e, 16b);12,2084;0,0814;0,1066;3,0108;0,2956;0,3190;10,5052;False
A;LSTM (32u, 18w, 50e, 32b);16,0139;0,0687;0,0853;2,5331;0,1976;0,2157;6,8904;False
A;LSTM (32u, 18w, 50e, 64b);10,2510;0,0671;0,0839;2,4744;0,1993;0,2170;6,9516;False
A;LSTM (32u, 18w, 100e, 16b);17,5210;0,0711;0,0947;2,6209;0,2785;0,3007;9,8636;False
A;LSTM (32u, 18w, 100e, 32b);15,1961;0,0732;0,0971;2,7026;0,2820;0,3045;9,9938;False
A;LSTM (32u, 18w, 100e, 64b);13,4048;0,0668;0,0900;2,4637;0,2697;0,2916;9,5361;False
A;LSTM (32u, 18w, 150e, 16b);23,1877;0,1278;0,1356;4,6471;0,1312;0,1514;4,5225;False
A;LSTM (32u, 18w, 150e, 32b);18,6438;0,0741;0,0981;2,7340;0,2836;0,3062;10,0542;False
A;LSTM (32u, 18w, 150e, 64b);16,1252;0,0590;0,0799;2,1753;0,2475;0,2677;8,7127;False
