series;model;train_time;val_MAE;val_RMSE;val_sMAPE;test_MAE;test_RMSE;test_sMAPE;error_occurred
C;LSTM (16u, 3w, 50e, 16b);13,9271;0,5629;0,6279;0,5601;0,6091;1,2300;0,5997;False
C;LSTM (16u, 3w, 50e, 32b);11,4299;0,5279;0,5910;0,5254;0,5876;1,2261;0,5784;False
C;LSTM (16u, 3w, 50e, 64b);11,3219;0,5140;0,5759;0,5116;0,5804;1,2250;0,5712;False
C;LSTM (16u, 3w, 100e, 16b);14,8766;0,4891;0,5567;0,4869;0,5644;1,2219;0,5553;False
C;LSTM (16u, 3w, 100e, 32b);13,3450;0,5278;0,5948;0,5253;0,5854;1,2250;0,5762;False
C;LSTM (16u, 3w, 100e, 64b);12,5804;0,4911;0,5560;0,4889;0,5668;1,2220;0,5577;False
C;LSTM (16u, 3w, 200e, 16b);20,8844;0,5405;0,6109;0,5379;0,5909;1,2268;0,5816;False
C;LSTM (16u, 3w, 200e, 32b);19,2072;0,5191;0,5871;0,5167;0,5800;1,2247;0,5707;False
C;LSTM (16u, 3w, 200e, 64b);17,8437;0,5262;0,5934;0,5237;0,5844;1,2248;0,5752;False
C;LSTM (16u, 6w, 50e, 16b);12,1939;0,5621;0,6191;0,5593;0,6148;1,2333;0,6053;False
C;LSTM (16u, 6w, 50e, 32b);11,8331;0,5214;0,5781;0,5190;0,5873;1,2279;0,5781;False
C;LSTM (16u, 6w, 50e, 64b);10,2810;0,4842;0,5458;0,4820;0,5666;1,2225;0,5575;False
C;LSTM (16u, 6w, 100e, 16b);15,2824;0,5272;0,5857;0,5247;0,5932;1,2291;0,5838;False
C;LSTM (16u, 6w, 100e, 32b);14,1118;0,5455;0,6020;0,5428;0,6047;1,2311;0,5953;False
C;LSTM (16u, 6w, 100e, 64b);14,4779;0,5495;0,6067;0,5468;0,6045;1,2311;0,5951;False
C;LSTM (16u, 6w, 200e, 16b);25,5602;0,5791;0,6423;0,5762;0,6249;1,2357;0,6153;False
C;LSTM (16u, 6w, 200e, 32b);20,1846;0,5407;0,6019;0,5381;0,5987;1,2296;0,5893;False
C;LSTM (16u, 6w, 200e, 64b);18,6929;0,5382;0,5958;0,5356;0,6006;1,2306;0,5912;False
C;LSTM (16u, 12w, 50e, 16b);12,6203;0,4009;0,4651;0,3994;0,5388;1,2199;0,5299;False
C;LSTM (16u, 12w, 50e, 32b);12,1062;0,7707;0,8233;0,7659;0,7650;1,2765;0,7541;False
C;LSTM (16u, 12w, 50e, 64b);13,2463;0,4766;0,5400;0,4745;0,5596;1,2187;0,5505;False
C;LSTM (16u, 12w, 100e, 16b);17,1398;0,4221;0,4762;0,4204;0,5263;1,2030;0,5174;False
C;LSTM (16u, 12w, 100e, 32b);15,0565;0,5063;0,5660;0,5040;0,5763;1,2238;0,5671;False
C;LSTM (16u, 12w, 100e, 64b);13,4312;0,5212;0,5821;0,5188;0,5845;1,2239;0,5753;False
C;LSTM (16u, 12w, 200e, 16b);25,7329;0,5343;0,5913;0,5317;0,5644;1,1861;0,5552;False
C;LSTM (16u, 12w, 200e, 32b);23,6333;0,3432;0,4014;0,3420;0,5104;1,2098;0,5017;False
C;LSTM (16u, 12w, 200e, 64b);19,9673;0,3600;0,4146;0,3586;0,5222;1,2106;0,5134;False
