series;model;train_time;val_MAE;val_RMSE;val_sMAPE;test_MAE;test_RMSE;test_sMAPE;error_occurred
C;RNN (16u, 3w, 50e, 16b);10,9032;0,5510;0,6189;0,5483;0,6005;1,2289;0,5911;False
C;RNN (16u, 3w, 50e, 32b);8,9716;0,4991;0,5655;0,4968;0,5698;1,2232;0,5606;False
C;RNN (16u, 3w, 50e, 64b);8,5110;0,5175;0,5836;0,5151;0,5800;1,2250;0,5708;False
C;RNN (16u, 3w, 100e, 16b);11,5830;0,4773;0,5440;0,4752;0,5600;1,2214;0,5509;False
C;RNN (16u, 3w, 100e, 32b);10,7512;0,4382;0,5052;0,4363;0,5438;1,2196;0,5348;False
C;RNN (16u, 3w, 100e, 64b);10,2444;0,5098;0,5749;0,5075;0,5763;1,2243;0,5671;False
C;RNN (16u, 3w, 200e, 16b);16,5215;0,4385;0,5062;0,4367;0,5428;1,2193;0,5339;False
C;RNN (16u, 3w, 200e, 32b);16,1053;0,5072;0,5742;0,5048;0,5736;1,2238;0,5644;False
C;RNN (16u, 3w, 200e, 64b);15,3975;0,5462;0,6128;0,5435;0,5975;1,2285;0,5881;False
C;RNN (16u, 6w, 50e, 16b);9,3220;0,5123;0,5727;0,5100;0,5798;1,2258;0,5706;False
C;RNN (16u, 6w, 50e, 32b);8,2142;0,5890;0,6508;0,5860;0,6307;1,2358;0,6211;False
C;RNN (16u, 6w, 50e, 64b);9,0586;0,5418;0,6003;0,5391;0,5997;1,2296;0,5903;False
C;RNN (16u, 6w, 100e, 16b);12,4089;0,5455;0,6096;0,5429;0,5984;1,2287;0,5890;False
C;RNN (16u, 6w, 100e, 32b);11,9671;0,5042;0,5636;0,5019;0,5762;1,2253;0,5671;False
C;RNN (16u, 6w, 100e, 64b);11,3688;0,4633;0,5273;0,4613;0,5544;1,2212;0,5454;False
C;RNN (16u, 6w, 200e, 16b);17,9489;0,5980;0,6615;0,5949;0,6358;1,2365;0,6261;False
C;RNN (16u, 6w, 200e, 32b);17,2895;0,3660;0,4358;0,3647;0,5292;1,2212;0,5204;False
C;RNN (16u, 6w, 200e, 64b);15,7104;0,5500;0,6155;0,5473;0,6015;1,2296;0,5921;False
C;RNN (16u, 12w, 50e, 16b);9,5873;0,4193;0,4700;0,4175;0,5292;1,1924;0,5203;False
C;RNN (16u, 12w, 50e, 32b);9,3499;0,5782;0,6267;0,5753;0,6218;1,2248;0,6122;False
C;RNN (16u, 12w, 50e, 64b);8,9717;0,5129;0,5738;0,5105;0,5740;1,2043;0,5647;False
C;RNN (16u, 12w, 100e, 16b);12,8307;0,3672;0,4196;0,3658;0,5387;1,2132;0,5297;False
C;RNN (16u, 12w, 100e, 32b);11,1204;0,4470;0,5026;0,4451;0,5406;1,2049;0,5317;False
C;RNN (16u, 12w, 100e, 64b);11,6469;0,4494;0,5060;0,4475;0,5444;1,2029;0,5354;False
C;RNN (16u, 12w, 200e, 16b);19,1253;0,4487;0,5043;0,4467;0,5429;1,2104;0,5340;False
C;RNN (16u, 12w, 200e, 32b);15,9115;0,2424;0,3056;0,2417;0,5218;1,2331;0,5130;False
C;RNN (16u, 12w, 200e, 64b);14,3609;0,5023;0,5569;0,4999;0,5670;1,1934;0,5579;False
C;RNN (16u, 18w, 50e, 16b);10,0669;0,5474;0,6034;0,5447;0,5896;1,2017;0,5803;False
C;RNN (16u, 18w, 50e, 32b);7,9708;0,4900;0,5447;0,4878;0,5682;1,2154;0,5591;False
C;RNN (16u, 18w, 50e, 64b);8,3321;0,5211;0,5861;0,5186;0,5710;1,1898;0,5617;False
C;RNN (16u, 18w, 100e, 16b);10,9155;0,5384;0,5915;0,5358;0,5900;1,1946;0,5807;False
C;RNN (16u, 18w, 100e, 32b);10,2826;0,5561;0,6082;0,5533;0,6011;1,2036;0,5917;False
C;RNN (16u, 18w, 100e, 64b);11,1769;0,5338;0,5864;0,5312;0,5819;1,1961;0,5726;False
C;RNN (16u, 18w, 200e, 16b);18,1497;0,7012;0,7570;0,6970;0,6909;1,2132;0,6806;False
C;RNN (16u, 18w, 200e, 32b);17,6142;0,5782;0,6284;0,5752;0,6227;1,2116;0,6131;False
C;RNN (16u, 18w, 200e, 64b);16,4198;0,5162;0,5710;0,5137;0,5764;1,2010;0,5672;False
C;RNN (16u, 24w, 50e, 16b);9,6375;0,5472;0,6055;0,5445;0,6058;1,2122;0,5963;False
C;RNN (16u, 24w, 50e, 32b);8,6053;0,5655;0,6526;0,5625;0,6211;1,2416;0,6114;False
C;RNN (16u, 24w, 50e, 64b);9,2198;0,6479;0,7851;0,6438;0,7395;1,2035;0,7291;False
C;RNN (16u, 24w, 100e, 16b);12,4955;0,5919;0,6702;0,5886;0,6647;1,2133;0,6546;False
C;RNN (16u, 24w, 100e, 32b);11,8245;0,5600;0,6385;0,5570;0,6315;1,2433;0,6217;False
C;RNN (16u, 24w, 100e, 64b);10,9661;0,4737;0,5534;0,4714;0,5726;1,1962;0,5632;False
C;RNN (16u, 24w, 200e, 16b);21,8721;0,5380;0,6182;0,5352;0,6323;1,2069;0,6226;False
C;RNN (16u, 24w, 200e, 32b);18,8512;0,6138;0,6896;0,6102;0,6510;1,2004;0,6410;False
C;RNN (16u, 24w, 200e, 64b);17,4735;0,5064;0,5890;0,5038;0,6057;1,1951;0,5961;False
C;RNN (32u, 3w, 50e, 16b);9,4468;0,4764;0,5430;0,4743;0,5597;1,2214;0,5506;False
C;RNN (32u, 3w, 50e, 32b);9,0856;0,3616;0,4337;0,3603;0,5262;1,2208;0,5174;False
C;RNN (32u, 3w, 50e, 64b);9,7428;0,5316;0,5961;0,5291;0,5894;1,2266;0,5801;False
C;RNN (32u, 3w, 100e, 16b);11,7310;0,4324;0,4999;0,4306;0,5414;1,2194;0,5325;False
C;RNN (32u, 3w, 100e, 32b);10,8345;0,5707;0,6370;0,5679;0,6148;1,2318;0,6053;False
C;RNN (32u, 3w, 100e, 64b);10,9979;0,4942;0,5598;0,4920;0,5681;1,2228;0,5590;False
C;RNN (32u, 3w, 200e, 16b);18,8640;0,4926;0,5584;0,4904;0,5674;1,2228;0,5583;False
C;RNN (32u, 3w, 200e, 32b);16,3449;0,4053;0,4741;0,4037;0,5336;1,2193;0,5247;False
C;RNN (32u, 3w, 200e, 64b);15,4036;0,5432;0,6101;0,5406;0,5951;1,2280;0,5857;False
C;RNN (32u, 6w, 50e, 16b);9,2083;0,5619;0,6237;0,5592;0,6123;1,2318;0,6028;False
C;RNN (32u, 6w, 50e, 32b);8,6941;0,3848;0,4510;0,3833;0,5334;1,2207;0,5245;False
C;RNN (32u, 6w, 50e, 64b);8,6716;0,5641;0,6261;0,5613;0,6137;1,2323;0,6042;False
C;RNN (32u, 6w, 100e, 16b);11,6471;0,4624;0,5276;0,4604;0,5538;1,2209;0,5448;False
C;RNN (32u, 6w, 100e, 32b);11,3572;0,5503;0,6147;0,5476;0,6017;1,2292;0,5923;False
C;RNN (32u, 6w, 100e, 64b);10,8147;0,5587;0,6203;0,5560;0,6096;1,2315;0,6002;False
C;RNN (32u, 6w, 200e, 16b);17,2291;0,4341;0,4997;0,4323;0,5436;1,2200;0,5347;False
C;RNN (32u, 6w, 200e, 32b);16,0651;0,4866;0,5483;0,4844;0,5656;1,2231;0,5565;False
C;RNN (32u, 6w, 200e, 64b);15,5519;0,5147;0,5777;0,5123;0,5799;1,2256;0,5707;False
C;RNN (32u, 12w, 50e, 16b);8,8974;0,4097;0,4634;0,4080;0,5372;1,2117;0,5283;False
C;RNN (32u, 12w, 50e, 32b);8,6508;0,4369;0,4910;0,4350;0,5462;1,2099;0,5372;False
C;RNN (32u, 12w, 50e, 64b);9,7710;0,4545;0,5067;0,4525;0,5481;1,2049;0,5391;False
C;RNN (32u, 12w, 100e, 16b);12,5308;0,2744;0,3298;0,2735;0,5163;1,2190;0,5075;False
C;RNN (32u, 12w, 100e, 32b);11,0771;0,4679;0,5192;0,4659;0,5473;1,2037;0,5383;False
C;RNN (32u, 12w, 100e, 64b);11,0038;0,4158;0,4687;0,4141;0,5239;1,2045;0,5151;False
C;RNN (32u, 12w, 200e, 16b);18,1066;0,2745;0,3291;0,2736;0,5295;1,2252;0,5207;False
C;RNN (32u, 12w, 200e, 32b);16,1615;0,1985;0,2794;0,1980;0,5449;1,2699;0,5359;False
C;RNN (32u, 12w, 200e, 64b);18,9131;0,5241;0,5820;0,5216;0,5855;1,2085;0,5763;False
C;RNN (32u, 18w, 50e, 16b);9,1381;0,5387;0,5917;0,5361;0,5918;1,2032;0,5825;False
C;RNN (32u, 18w, 50e, 32b);8,7253;0,5685;0,6192;0,5656;0,6107;1,2043;0,6012;False
C;RNN (32u, 18w, 50e, 64b);8,9019;0,5022;0,5525;0,4999;0,5549;1,1895;0,5459;False
C;RNN (32u, 18w, 100e, 16b);12,3072;0,5377;0,5863;0,5351;0,5916;1,2079;0,5822;False
C;RNN (32u, 18w, 100e, 32b);11,4739;0,4081;0,4528;0,4064;0,5144;1,1903;0,5056;False
C;RNN (32u, 18w, 100e, 64b);11,1603;0,4838;0,5330;0,4815;0,5470;1,1916;0,5380;False
C;RNN (32u, 18w, 200e, 16b);18,8375;0,5493;0,5991;0,5465;0,5996;1,1996;0,5902;False
C;RNN (32u, 18w, 200e, 32b);16,9260;0,5117;0,5647;0,5092;0,5693;1,1868;0,5601;False
C;RNN (32u, 18w, 200e, 64b);15,5387;0,4838;0,5310;0,4816;0,5524;1,1943;0,5433;False
C;RNN (32u, 24w, 50e, 16b);9,9972;0,6453;0,7252;0,6415;0,6805;1,2191;0,6702;False
